"Aktien_name","Aktien_URL","Aktien_Bilanzdaten_DieAktie","Aktien_Bilanzdaten_Jahr","Aktien_Bilanzdaten_EPSundiluted","Aktien_Bilanzdaten_EPSdiluted","Aktien_Bilanzdaten_DPS","Aktien_Bilanzdaten_GUV","Aktien_Bilanzdaten_Turnover","Aktien_Bilanzdaten_equityratio","Aktien_Bilanzdaten_deptratio","Aktien_HVDiv_Datum","Aktien_HVDiv_Dividende"
"","","","","","","","","","","","20.04.16","2,00"
"","","","","","","","","","","","22.04.15","1,00"
"","","","","","","","","","","","28.04.14","1,75"
"","","","","","","","","","","","24.04.13","1,75"
"","","","","","","","","","","","19.04.12","2,50"
"","","","","","","","","","","","29.03.11","1,55"
"","","","","","","","","","","","10.12.10","2,00"
"","","","","","","","","","","","30.04.10","2,00"
"","","","","","","","","","","","23.04.09","2,00"
"","","","","","","","","","","","12.06.08","2,00"
"","","","","","","","","","","","15.06.07","1,43"
"","","","","","","","","","","","14.06.06","1,14"
"","","","","","","","","","","","03.06.05","1,14"
"","","","","","","","","","","","04.06.04","0,86"
"","","","","","","","","","","","21.05.03","0,57"
"OMV Aktie [WKN: 74305 / ISIN: AT0000743059]","http://www.finanzen.at/bilanz_guv/OMV","OMV AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","OMV AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"OMV Aktie [WKN: 74305 / ISIN: AT0000743059]","http://www.finanzen.at/bilanz_guv/OMV","OMV AG: Die Aktie (in EUR)","2010","3,06","3,05","1","OMV AG: GuV (in Mio. EUR)","77,28","34,39","65,61","",""
"OMV Aktie [WKN: 74305 / ISIN: AT0000743059]","http://www.finanzen.at/bilanz_guv/OMV","OMV AG: Die Aktie (in EUR)","2011","3,38","3,37","1,1","OMV AG: GuV (in Mio. EUR)","107,97","36","64","",""
"OMV Aktie [WKN: 74305 / ISIN: AT0000743059]","http://www.finanzen.at/bilanz_guv/OMV","OMV AG: Die Aktie (in EUR)","2012","4,18","4,17","1,2","OMV AG: GuV (in Mio. EUR)","130,36","36,57","63,43","",""
"OMV Aktie [WKN: 74305 / ISIN: AT0000743059]","http://www.finanzen.at/bilanz_guv/OMV","OMV AG: Die Aktie (in EUR)","2013","3,56","3,55","1,25","OMV AG: GuV (in Mio. EUR)","129,6","34,21","65,79","",""
"OMV Aktie [WKN: 74305 / ISIN: AT0000743059]","http://www.finanzen.at/bilanz_guv/OMV","OMV AG: Die Aktie (in EUR)","2014","1,09","1,09","1,25","OMV AG: GuV (in Mio. EUR)","109,73","30,47","69,53","",""
"OMV Aktie [WKN: 74305 / ISIN: AT0000743059]","http://www.finanzen.at/bilanz_guv/OMV","OMV AG: Die Aktie (in EUR)","2015","-3,37","-3,37","1","OMV AG: GuV (in Mio. EUR)","68,97","27,28","72,72","",""
